name,name_en
"スウィープ・セイバー","Tempest Sabre"
"黒曜石の剣","Obsidian Sword"
"結束の太刀","Classic Bound Tachi"
"インヴァリア","Invaria"
"ソード・オブ・ホグニ","Sword of Hogni"
"エリュシデータ×ダークリパルサー","Elucidator & Dark Repulser"
"ランベントライト","Lambent Light"
"イーボンダガー","Ebony Dagger"
"ソードブレイカー","Sword Breaker"
"スターメイス","Star Mace"
"アトミックスマッシャー","Atom Smasher"
"ヘカート2","Hecate II"
"ソウル・オブ・シャムロック","Soul of Shamrock"
"ユナイティウォークス×ディバイネーション","Unity Walks & Divination"
"世界樹の杖","Yggdrasil Bough"
"グリダヴォル","Gridaval"
"シャルディーノ","Giardina"
"アッキヌフォート","L'arc Qui ne Faut"
"風剣ウェントゥス","Ventus Cyclone Sword"
"グレイス・オブ・ウィンド","Wind of Grace"
"ストーム・スライサー","Storm Slicer"
"バタフライ・ウィング","Butterfly Wing"
"ゲイルブレイカー","Hurricane Breaker"
"パンプキン・ハンマー","Pumpkin Hammer"
"デビルズ・スプレッド","Devil's Spread"
"ブラック・キャッツ","Black Cat"
"ソーラー・リパルサー×デビルシデータ","Solar Repulsor & Devil Silencer"
"トリート・チェイサー","Treat Hunter"
"デビルズ・スレイヴ","Devil's Slave"
"ガイアナイフ","Gaia Knife"
"ハーヴェスト","Harvest"
"神樹の鋭剣","Eden's Edge"
"神樹の宝杖","Eden's Stave"
"コンフラグレーション","Conflagration"
"ヘカート・エクリクシス","Explosive Hecate"
"イグナイティア","Ignitia"
"ノヴァ・フリクション","Supernova Friction"
"ホリーキャリバー×ジングルブレード","Holy Caliber & Jingle Blade"
"フロイデシュヴェルト","Freudeschwert"
"ブリリアント・フルーレ","Treasured Rapier"
"ラディアント・ツリー","Radiant Tree"
"ジングル・オール・ザ・ウェイ","Jingle All the Way"
"レインディアダガー","Reindeer Dagger"
"ホーリーナイト・ショット","Holy Night's Shot"
"ホーリーダガー","Holy Dagger"
"リンガー・ブレード","Ringing Blade"
"退魔のかんざし","Exorcist's Hairpin"
"サンライトレイピア","Sunlight Rapier"
"破魔の大弓","Demonbane Greatbow"
"天穂日命","Amenohohi"
"幸福の門松","Blessed Pine"
"マリーン・タクト","Marine Baton"
"海神の重槌","Sea God's Mallet"
"アクエリアス・エッジ","Mercury Edge"
"エッジ・オブ・マーキュリー","Aquarius Edge"
"ラブケーキナイフ","Love Cake Knife"
"チョコレートグラインダー","Chocolate Grater"
"恋天使の熱弓","Cupid's Passion"
"フェイバリットレイピア","Brilliant Fleuret"
"魔剣ティルヴィング","Tyrfing"
"エルダーソード×シーカーソード","Elder Sword & Seeker Sword"
"彗剣エグザグラム","Hexagramme"
"ラスティーネイル","Rusty Nail"
"ヒロイックプロミス","Heroic Promise"
"カーレッジ","Courage"
"エレーター","Elater"
"エッジ・オブ・リぺント","Edge of Repent"
"アドバンサー","Advancer"
"ラブリー・パルティアン","Lovely Paltian"
"エンジェル・クレイモア","Angel Claymore"
"リルティング・ホルン","Lilting Horn"
"トワリング・メイス","Twerling Mace"
"イエロー・マンゴーシュ","Yellow Mangoesh"
"双華刃","Paired Blossoms"
"幸菱の風剣","Breeze of the Fortunate Pattern"
"宵雛の桃刀","Blade of Blight Festival"
"青薔薇の剣","Blue Rose Sword"
"金木犀の剣","Fragant Olive Sword"
"因果の法剣","Sword of Causality"
"終焉の龍刃","Blade of Demise"
"刹那の妖刀","Ephemeral Edge"
"輪廻の六弁","Six-petaled Stave"
"籠絡の蓮華","Lotus of Dominant"
"シャイニング・グラディウス","Shining Nemesisz"
"ソードダンス・エスパーダ","Espanda of Sword Dance"
"パープルスター・バゼラルド","Purple Star Baselard"
"グロリアス・マイク","Glorious Mic"
"コバルト・トリスタン","Cobalt Tristan"
"ヴィーナス・ハート","Venus Heart"
"桜吹雪の長弓","Sakura Rain Bow"
"桜花太刀","Sakura Sword"
"若桜の重棍","Sakura Mace"
"ワンス・アポン・ア・タイム","Glass Sword"
"マーメイド・ソング","Mermaid Knife"
"レッド・ヴォルフバスター","Red Wolf Buster"
"アップル・オブ・フェイト","Apple Shooter"
"パーフェクト・ラヴァー","Tulip Mace"
"パール・バタフライ","Butterfly Rapier"
"エリュシデータ×ダークリパルサー+1","Elucidator & Dark Repulser +1"
"黒曜石の剣+1","Obsidian Sword +1"
"ストーム・スライサー+1","Storm Slicer +1"
"ヘカート・エクリクシス+1","Explosive Hecate +1"
"エルダーソード×シーカーソード+1","Elder Sword & Seeker Sword +1"
"キャンドルステッキ","Candle Stick"
"スウィーティーシューター","Sweet Shooter"
"スマッシュブラッシュ","Smash Brush"
"クレステッドエスパーダ","Crested Espada"
"ティータイムセイバー","Tea Time Saber"
"シュガーククリ","Sugar Kukuri"
"フィッシャーズソード","Fisher's Sword"
"コックスハンマー","Cox Hammer"
"スプラッシュダガー","Splash Dagger"
"リブラアスタム","Lance of Libra"
"レオアスタム","Lance of Leo"
"ジェミニグラディウム","Rapier of Gemini"
